Table 3 
Radial Velocities for HD 200964


JD	RV	Uncertainty	Telescope	
-2440000	(m s^-1)	(m s^-1)		
13213.895	11.40	4.20	L	
13255.775	29.55	3.72	L	
13327.604	36.56	3.70	L	
13576.944	-20.58	3.98	L	
13619.810	-36.28	3.71	L	
13641.795	-27.30	3.61	L	
13669.629	-18.07	3.55	L	
13710.605	-4.99	3.77	L	
13894.977	-3.08	3.71	L	
13895.921	6.24	3.30	L	
13896.963	5.08	3.47	L	
13921.953	9.72	3.59	L	
13959.788	7.02	3.96	L	
14216.976	-19.74	4.09	L	
14232.936	-26.06	4.83	L	
14244.907	-27.39	5.19	L	
14254.960	-16.97	3.70	L	
14274.916	-7.88	3.72	L	
14288.888	-3.15	3.49	L	
14304.877	8.18	4.89	L	
14309.845	-1.57	4.28	L	
14336.881	16.00	4.49	L	
14377.773	10.58	5.74	L	
14399.752	33.36	1.62	K	
14401.749	41.83	5.67	L	
14405.700	39.39	4.02	L	
14427.588	35.30	4.29	L	
14427.757	25.14	1.18	K	
14429.621	49.55	4.41	L	
14432.653	30.85	4.89	L	
14445.624	23.13	4.22	L	
14536.053	20.85	5.26	L	
14551.019	25.15	7.90	L	
14585.990	22.22	4.51	L	
14603.126	14.71	1.39	K	
14604.012	18.01	1.58	K	
14612.988	-7.49	6.44	L	
14621.965	3.21	5.14	L	
14622.995	-5.37	4.16	L	
14634.079	10.67	1.52	K	
14640.923	-1.39	3.34	L	
14650.960	-13.59	3.79	L	
14656.902	0.00	7.81	L	
14674.916	-16.16	1.39	K	
14675.850	-16.06	4.87	L	
14676.879	-25.35	4.49	L	
14677.922	-28.67	3.69	L	
14683.850	-22.03	4.24	L	
14699.804	-14.57	5.28	L	
14734.713	-29.88	3.82	L	
14737.790	-29.53	5.34	L	
14738.751	-36.28	4.54	L	
14747.711	-59.70	3.80	L	
14766.659	-48.87	3.96	L	
14778.803	-45.21	1.61	K	
14785.605	-51.33	4.06	L	
14790.734	-47.17	1.34	K	
14807.789	-46.94	1.60	K	
14935.136	-18.39	1.16	K	
14941.012	-18.06	6.19	L	
14941.989	-24.98	4.38	L	
14956.097	-14.88	1.50	K	
14964.120	-5.85	1.33	K	
14978.935	-3.81	5.48	L	
14984.070	6.28	1.43	K	
14985.095	4.20	1.62	K	
14986.112	-1.27	1.71	K	
14987.129	3.06	1.39	K	
14989.069	6.64	1.33	K	
15002.947	32.46	5.34	L	
15014.972	22.36	1.54	K	
15015.957	11.56	1.44	K	
15027.007	22.52	1.55	K	
15042.973	33.72	1.69	K	
15049.001	42.16	1.62	K	
15060.816	45.09	4.29	L	
15061.819	45.31	3.69	L	
15062.829	47.93	3.69	L	
15075.078	45.22	1.68	K	
15076.067	43.59	1.75	K	
15077.056	49.98	1.57	K	
15082.047	45.65	1.53	K	
15083.053	52.10	1.63	K	
15084.028	55.68	1.57	K	
15085.004	46.81	1.60	K	
15091.772	64.86	4.56	L	
15092.725	57.80	3.96	L	
15106.911	57.25	1.51	K	
15123.798	55.22	4.81	L	
15135.755	48.13	1.43	K	
15148.734	61.20	4.57	L	
15150.620	54.74	5.97	L	
15187.695	44.10	1.66	K	
15188.688	41.49	1.69	K	
15290.146	11.79	1.39	K	
15313.137	2.22	1.33	K	
